 mercado livre ,42.51,itau,,,,10,10,1,2024
 samsung para sempre ,179.99,itau,,,,14,21,1,2024
 mercado pago(pneu caminhonete) ,475.96,itau,,,,5,10,1,2024
 amazon ,50.37,nubank,,,,9,9,1,2024
mercado livre,31.73,nubank,,,,9,10,1,2024
b3 hotel caldas,107.72,nubank,,,,10,11,1,2024
amazon,66.37,nubank,,,,9,10,1,2024
amazon,53.62,nubank,,,,9,10,1,2024
computador pichau,188.77,nubank,,TRUE,100,2,15,1,2024
mw3,27.1,c6,,,,2,12,1,2024
mercado livre (revisao caminhonete),58.38,c6,,,,3,10,1,2024
amazon,51.81,c6,,,,4,9,1,2024
amazon,61.25,c6,,,,6,6,1,2024
amazon cadeira,299.35,c6,,,,7,10,1,2024
amazon,57.99,c6,,,,2,6,1,2024
amazon,53.05,c6,,,,2,6,1,2024
mercado livre (ozonio andressa),172.26,c6,,TRUE,50,2,10,1,2024
autozone ,51.82,c6,,,,4,7,1,2024
Municao,601.7,c6,,,,1,6,1,2024
projetil,563.1,c6,,,,,,1,2024
ferramentas,67.06,c6,,,,,,1,2024
uber mae,16.99,c6,,,,,,1,2024
foco,90,ame,,,,9,10,1,2024
bateria carro,67.49,ame,,,,8,10,1,2024
mercado livre,112.4,ame,,,,4,10,1,2024
amazon,56.08,ame,,,,4,10,1,2024
amazon,62.19,ame,,,,4,10,1,2024
strike remap,390,ame,,,,3,12,1,2024
case celular,55,ame,,,,2,2,1,2024
protiro insumos,376.93,ame,,,,2,10,1,2024
amazon,50.18,ame,,,,2,5,1,2024
prensa,134.05,ame,,,,1,12,1,2024
amazon,50.93,ame,,,,1,12,1,2024
super maxi,57.53,ame,,,,,,1,2024
via fruta,57.51,ame,,,,,,1,2024
amazon,32.85,ame,,,,,,1,2024
gympass andressa,184.9,ame,TRUE,,,,,1,2024
amazon,66.17,xp,,,,6,10,1,2024
mercado pago,37.49,xp,,,,6,10,1,2024
loja doce,12.26,xp,,,,5,10,1,2024
mercado livre,39.25,xp,,,,5,5,1,2024
paypal,80.36,xp,,,,3,4,1,2024
riachuelo,129.8,xp,,,,2,2,1,2024
foco municao defesa,141.68,xp,,,,2,3,1,2024
condominio,320,xp,TRUE,,,,,1,2024
condominio taxa e,45,xp,,,,2,2,1,2024
gympass,184.9,xp,TRUE,,,,,1,2024
vivo easy,0,xp,TRUE,,,,,1,2024
vivo easy,0,xp,TRUE,,,,,1,2024
hbomax,0,xp,TRUE,,,,,1,2024
ml,0,xp,TRUE,,,,,1,2024
gympass and,49.9,xp,TRUE,TRUE,100,,,1,2024
wine,56.25,xp,TRUE,,,,,1,2024
youtube,13.9,xp,TRUE,,,,,1,2024
flora,384.81,xp,TRUE,,,,,1,2024
via fruta,109.94,xp,,,,,,1,2024
shell,92.85,xp,,,,,,1,2024
foco,80,xp,,,,,,1,2024
open house,101,xp,,,,,,1,2024
milani diesel,233.62,xp,,,,,,1,2024
pizza,79.9,xp,,,,,,1,2024
via fruta,38.32,xp,,,,,,1,2024
sabor e arte,6.35,xp,,,,,,1,2024
pro tiro,30,xp,,,,,,1,2024
padaria,10.12,xp,,,,,,1,2024
certificado digital,65.16,xp,,,,1,3,1,2024
via fruta,437.79,xp,,,,,,1,2024
super maxi,104.26,xp,,,,,,1,2024
recanto da cevada,159.24,xp,,,,,,1,2024
super maxi,17.97,xp,,,,,,1,2024